#Table1
ra,dec,u,g,r,i,z,redshift,class
44.481487,0.97853822,22.0458,21.28178,21.65474,21.24052,21.41294,1.792828,QSO
46.109388,1.0459104,19.10064,16.8149,15.60841,15.11939,14.75466,0.156453,GALAXY
46.107689,1.0470742,20.35764,18.1697,17.00046,16.51065,16.19602,0.1531706,GALAXY
47.821785,1.046885,19.84112,18.31459,17.70017,17.45584,17.36307,6.093838E-05,STAR
48.778065,1.0466011,23.58185,20.37692,19.11336,18.63777,18.38258,0.2135938,GALAXY
49.296815,1.0474278,18.5211,16.65724,15.9237,15.48312,15.17295,0.06675781,GALAXY
49.275599,1.0470259,20.32591,19.33834,18.79022,18.42124,18.26366,0.06669576,GALAXY
49.729795,1.0461361,20.26043,19.02534,18.56368,18.32345,18.17825,0.02389494,GALAXY
50.917171,0.901692,17.56852,16.07338,15.48176,15.28377,15.19522,0.0002400847,STAR
50.911194,0.958208,24.35689,20.56286,18.96594,18.08315,17.60343,0.0003166502,STAR
50.827079,0.9398628,18.73592,17.4272,16.80908,16.47318,16.18574,0.03646222,GALAXY
50.831389,0.89501284,20.68344,18.6949,17.56325,17.04217,16.59908,0.1031313,GALAXY
50.851789,0.95288339,22.08768,20.0287,19.2669,18.97199,18.77237,0.0001145605,STAR
50.870041,1.011176,23.37992,20.31189,18.93714,18.19742,17.80151,0.0001654938,STAR
50.901436,0.986864,22.35711,19.70595,18.34925,17.75518,17.41731,0.0002237857,STAR
50.907913,0.991233,19.39842,18.40464,18.17116,18.03709,17.93543,0.0222007,GALAXY
50.911522,1.009399,19.9598,18.74298,18.21452,18.03182,17.94836,0.0001671365,STAR
50.780537,0.89214203,21.35825,20.04883,19.17889,18.77815,18.54567,0.2267069,GALAXY
50.78682,1.0265778,19.50301,18.32952,17.64112,17.26048,17.0331,0.1380212,GALAXY
50.787051,0.88464658,22.95892,20.18197,18.40692,17.78496,17.41217,0.3090246,GALAXY
50.793015,0.92702575,20.06419,18.7175,17.88697,17.4596,17.16274,0.1487097,GALAXY
50.794219,0.90478407,20.95011,20.49389,19.96259,20.00427,19.90314,1.055772,QSO
50.823188,0.952353,22.77737,20.09065,18.60499,18.10824,17.73026,0.2495529,GALAXY
50.830722,0.976052,20.24336,18.96328,17.92061,17.41211,17.04753,0.1628011,GALAXY
50.864193,0.95987201,21.88467,19.912,18.63855,18.14117,17.78924,0.1952272,GALAXY
